User,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Community
10099,0.00018570102135561745,0.0,7.956102930141226e-73,5
10102,0.0005571030640668523,0.0,7.202185798922224e-66,15
10106,0.001671309192200557,0.0,7.956102930141226e-73,29
10107,0.001671309192200557,0.0,5.012344845988974e-71,29
10108,0.00018570102135561745,0.0,7.956102930141226e-73,335
10109,0.00018570102135561745,0.0,5.012344845988974e-71,335
10111,0.0007428040854224698,0.0,7.956102930141226e-73,140
10112,0.0007428040854224698,0.0,5.012344845988974e-71,140
10113,0.0007428040854224698,3.4491274397402946e-08,1.467641945764059e-53,140
10114,0.0007428040854224698,3.4491274397402946e-08,1.467641945764059e-53,140
10118,0.00018570102135561745,0.0,7.956102930141226e-73,336
10119,0.00018570102135561745,0.0,5.012344845988974e-71,336
7545,0.0003714020427112349,0.0,7.956102930141226e-73,219
10120,0.0003714020427112349,0.0,5.012344845988974e-71,219
10121,0.0003714020427112349,0.0,1.6039503507164719e-69,219
1190,0.00018570102135561745,0.0,7.956102930141226e-73,337
10122,0.00018570102135561745,0.0,5.012344845988974e-71,337
7828,0.00018570102135561745,0.0,7.956102930141226e-73,338
10123,0.00018570102135561745,0.0,5.012344845988974e-71,338
7413,0.0007428040854224698,0.0,7.956102930141226e-73,21
10124,0.0003714020427112349,0.0,3.31984306966003e-68,21
7810,0.0011142061281337046,6.898254879480589e-08,1.6039503507164719e-69,21
7558,0.00018570102135561745,0.0,7.956102930141226e-73,339
10125,0.00018570102135561745,0.0,5.012344845988974e-71,339
10132,0.00018570102135561745,0.0,7.956102930141226e-73,340
10131,0.00018570102135561745,0.0,5.012344845988974e-71,340
1013,0.001299907149489322,0.0,7.956102930141226e-73,26
1014,0.001299907149489322,0.0,5.012344845988974e-71,26
12610,0.00018570102135561745,0.0,7.956102930141226e-73,341
10143,0.00018570102135561745,0.0,5.012344845988974e-71,341
10327,0.0005571030640668523,0.0,7.956102930141226e-73,144
10145,0.0005571030640668523,3.4491274397402946e-08,7.338209728820291e-54,144
10613,0.0005571030640668523,3.4491274397402946e-08,7.338209728820291e-54,144
1015,0.001299907149489322,0.0,5.1017396185120424e-67,26
5854,0.0014856081708449396,5.173691159610442e-07,3.324775853476718e-68,26
10156,0.00018570102135561745,0.0,7.956102930141226e-73,342
10157,0.00018570102135561745,0.0,5.012344845988974e-71,342
1016,0.001299907149489322,0.0,6.671146957136721e-66,26
3050,0.001299907149489322,6.935025253909179e-05,6.30590984958117e-19,1
10162,0.00018570102135561745,0.0,8.26916105774252e-20,1
1964,0.003342618384401114,0.0,0.0013381049590112685,8
10163,0.003342618384401114,0.0,0.0020005942262238123,8
1996,0.003342618384401114,0.0,0.001703301303320799,8
2009,0.007613741875580315,4.237497406370621e-06,0.002128694315162231,8
2080,0.007613741875580315,1.4389599970140897e-06,6.633811949336238e-05,8
2261,0.003342618384401114,0.0,0.0015716567878274025,8
2293,0.007613741875580315,4.527584365883052e-06,0.0019328798649957022,8
2328,0.003342618384401114,0.0,0.0018459725764331072,8
6050,0.008356545961002784,0.00012872880180998382,0.0026508863507607155,8
6342,0.008542246982358403,1.0150928741622787e-05,0.0012084354912045767,8
6343,0.008170844939647167,6.7744552183489124e-06,0.00012583428933180107,8
6345,0.00798514391829155,3.105843914019038e-05,0.0015230955854420988,8
6351,0.008913649025069637,6.896023356866474e-05,0.00011502001349847448,8
6352,0.008356545961002784,6.230887187988939e-05,0.0016811754866475287,8
6353,0.00798514391829155,1.5298212721664962e-06,0.0015991439542649046,8
6354,0.00798514391829155,2.4484590666550754e-05,0.001955133369174486,8
6356,0.008356545961002784,4.262664452318726e-05,0.0009885196925502563,8
6881,0.003342618384401114,0.0,0.0014501867954355289,8
6882,0.004456824512534818,0.0,7.956102930141226e-73,8
10165,0.0014856081708449396,2.586845579805221e-07,4.7337063473670164e-07,5
10217,0.001671309192200557,7.887004745539478e-06,4.367848306060875e-07,5
10309,0.0011142061281337046,0.0,7.956102930141226e-73,5
12608,0.00018570102135561745,0.0,7.956102930141226e-73,343
10167,0.00018570102135561745,0.0,5.012344845988974e-71,343
1017,0.001299907149489322,0.0,7.390575496007978e-65,26
10127,0.0003714020427112349,2.0694764638441767e-07,5.012344845988974e-71,5
10170,0.0011142061281337046,3.7250576349195173e-06,1.554622512549596e-69,5
10173,0.0003714020427112349,0.0,1.6039503507164719e-69,220
1018,0.001299907149489322,0.0,7.132667535578645e-64,26
10181,0.002599814298978644,1.791821704945083e-05,5.130209250172271e-07,5
12615,0.0003714020427112349,8.277905855376707e-07,1.554622512549596e-69,5
12621,0.00018570102135561745,0.0,7.956102930141226e-73,5
10231,0.0031569173630454964,6.017179696957187e-08,1.554622512549596e-69,5
10188,0.004085422469823584,7.672861414940484e-06,3.602058023487973e-05,5
10250,0.003342618384401114,6.017179696957187e-08,5.0862013494894744e-67,5
10391,0.001299907149489322,0.0,7.956102930141226e-73,5
10397,0.0038997214484679664,2.6958800155044466e-06,3.319843069660031e-68,5
10500,0.002042711234911792,3.421534420222371e-06,5.0716496372302453e-67,5
10719,0.0035283194057567314,4.3114092996753685e-07,5.012344845988974e-71,5
3756,0.004456824512534818,0.0002276386447493736,0.000430036824667186,5
2012,0.0003714020427112349,0.0,7.956102930141226e-73,76
1019,0.0005571030640668523,3.4491274397402946e-08,9.945128662676542e-71,76
2042,0.0007428040854224698,0.0,7.956102930141226e-73,76
10195,0.0035283194057567314,6.017179696957187e-08,3.0171420818706766e-06,5
10199,0.0003714020427112349,0.0,4.367848306060875e-07,5
1021,0.002228412256267409,1.6506538461614266e-07,3.9512624838103626e-32,35
1020,0.002414113277623027,1.3451597014987149e-06,2.5246762909857873e-32,35
1022,0.002414113277623027,4.409955797953662e-07,5.0584715011854e-32,35
1144,0.001299907149489322,1.1727033295117001e-06,1.6039503507164719e-69,4
10205,0.00018570102135561745,0.0,7.956102930141226e-73,344
10204,0.00018570102135561745,0.0,5.012344845988974e-71,344
10206,0.004271123491179201,3.781670808340146e-06,3.929044301927202e-05,5
10390,0.0009285051067780873,0.0,1.554622512549596e-69,5
10604,0.0014856081708449396,0.0,7.956102930141226e-73,5
10207,0.004456824512534818,3.8633001577473325e-06,4.25814740986103e-05,5
10280,0.0011142061281337046,1.264680061238108e-07,5.012344845988974e-71,5
10194,0.0009285051067780873,0.0,7.956102930141226e-73,69
10209,0.0009285051067780873,0.0,5.012344845988974e-71,69
1029,0.002228412256267409,7.243167623454619e-07,5.669304844828147e-32,35
1031,0.002228412256267409,1.1258937428295104e-06,8.431443045557696e-32,35
10201,0.0003714020427112349,0.0,7.956102930141226e-73,5
